gg_id;text;intent.id;intent.name;created_at;id_str
B62209918;“He’s got to explain this. How did Hunter Biden get a billion and a half dollars (from China) to invest when he’d been in business for 60 days?” @LindseyGrahamSC @FoxNews;Neutral;Neutral;01-24-2020 11:42:37;1,22E+18
Wb535a73b;The Democrats & Shifty Schiff whose presentation to the Senate was loaded with lies and misrepresentations are refusing to state that the Obama Administration withheld aid from many countries including Ukraine Pakistan Philippines Egypt Honduras & Mexico. Witch Hunt!;OffensiveLanguage;Offensive Language;01-23-2020 12:57:46;1,22E+18
Lcbb867f7;One of the many great things about our just signed giant Trade Deal with China is that it will bring both the USA & China closer together in so many other ways. Terrific working with President Xi a man who truly loves his country. Much more to come!;Neutral;Neutral;01-22-2020 18:03:06;1,22E+18
I5f3be105;“In the House the President got less due process than the 9-11 terrorists got. This is a corrupt process?” Mark Levin @marklevinshow “Very much so!” @RepDougCollins @FoxNews;Neutral;Neutral;01-20-2020 01:16:00;1,22E+18
Z9092ce94;I will be going to Austin Texas. Leaving soon. Always like (love!) being in the Lone Star State. Speaking to our great Farmers. They hit “paydirt” with our incredible new Trade Deals: CHINA JAPAN MEXICO CANADA SOUTH KOREA and many others!;Neutral;Neutral;01-19-2020 17:44:56;1,22E+18
Ee8fdce18;The farmers are really happy with the new China Trade Deal and the soon to be signed deal with Mexico and Canada but I hope the thing they will most remember is the fact that I was able to take massive incoming Tariff money and use it to help them get through the tough times!;Neutral;Neutral;01-16-2020 15:14:29;1,22E+18
A808b3614;Cryin’ Chuck Schumer is saying privately that the new China Trade Deal is  unbelievable which it is but publicly he knocks it whenever possible. That’s politics but so bad for our great Country!;OffensiveLanguage;Offensive Language;01-16-2020 13:59:15;1,22E+18
N994616fc;One of the greatest trade deals ever made! Also good for China and our long term relationship. 250 Billion Dollars will be coming back to our Country and we are now in a great position for a Phase Two start. There has never been anything like this in U.S. history! USMCA NEXT!;Neutral;Neutral;01-16-2020 13:41:21;1,22E+18
V5f3b8de7;The Fake News Media and their Democrat Partners are working hard to determine whether or not the future attack by terrorist Soleimani was “imminent” or not & was my team in agreement. The answer to both is a strong YES. but it doesn’t really matter because of his horrible past!;OffensiveLanguage;Offensive Language;01-13-2020 16:09:17;1,22E+18
X9078b256;The Democrats and the Fake News are trying to make terrorist Soleimani into a wonderful guy only because I did what should have been done for 20 years. Anything I do whether it’s the economy military or anything else will be scorned by the Rafical Left Do Nothing Democrats!;OffensiveLanguage;Offensive Language;01-13-2020 15:47:16;1,22E+18
Q0ba10a09;The Fake News Media and their Democrat Partners are working hard to determine whether or not the future attack by terrorist Soleimani was “eminent” or not & was my team in agreement. The answer to both is a strong YES. but it doesn’t really matter because of his horrible past!;OffensiveLanguage;Offensive Language;01-13-2020 15:42:46;1,22E+18
R5f86562b;Where have the Radical Left Do Nothing Democrats gone when they have spent the last 3 days defending the life of Qassem Soleimani one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.”;OffensiveLanguage;Offensive Language;1-11-2020 14:07;1,22E+18
Z430b13d6;Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American & badly wounded many others not to mention all of the people he had killed over his lifetime including recently....;HateSpeech;Hate Speech;1-4-2020 22:52;1,21E+18
